sku,brand,productName,description,inStock,reorderAt,orderQty,unitPrice
ELEC011,Logitech,MX Master 3,"Advanced wireless mouse with Darkfield Tracking, MagSpeed scroll wheel, and up to 70 days of battery life",50,45,30,100
ELEC012,Razer,Huntsman Elite,"Gaming keyboard with Razer Opto-Mechanical Switches, Chroma RGB lighting, and wrist rest",35,30,20,200
ELEC013,Corsair,Void RGB Elite Wireless,"Gaming headset with 7.1 surround sound, Discord-certified microphone, and up to 16 hours of battery life",40,35,20,100
ELEC014,Canon,EOS R6,"Mirrorless camera with 20.1-megapixel full-frame sensor, 4K video recording, and in-body image stabilization",25,20,15,2500
ELEC015,DJI,Mavic Air 2S,"Drone with 1-inch CMOS sensor, 5.4K video recording, and up to 31 minutes of flight time",30,25,20,1000
ELEC016,Bose,SoundLink Revolve+,"Portable Bluetooth speaker with 360-degree sound, up to 17 hours of battery life, and water resistance",20,15,15,300
ELEC017,Sonos,Beam,"Smart soundbar with Alexa voice control, HDMI connectivity, and immersive sound for TV, movies, music, and more",40,35,30,400
ELEC018,Amazon,Echo Dot (4th Gen),"Smart speaker with Alexa voice control, compact design, and improved sound quality",60,55,40,50
ELEC019,TP-Link,Archer AX6000,"Wi-Fi 6 router with 8 Gigabit LAN ports, 2.5Gbps WAN port, and 1.8GHz quad-core CPU",45,40,20,300
ELEC110,Western Digital,My Passport SSD,"External SSD with up to 2TB storage, USB 3.2 Gen 2 interface, and password protection",70,65,40,380
ELEC111,Apple,iPad Air,"10.9-inch tablet with A14 Bionic chip, Liquid Retina display, and support for Apple Pencil and Magic Keyboard",50,45,30,600
ELEC112,Samsung,Galaxy S23,"Android smartphone with 6.4-inch Dynamic AMOLED display, 5G connectivity, and 108MP primary camera",40,35,20,1100
ELEC113,Microsoft,Surface Laptop 4,"Laptop with 13.5-inch PixelSense display, Intel Core i7 processor, and up to 1TB SSD storage",30,25,20,1400
ELEC114,Sony,WH-1000XM4,"Noise-canceling headphones with Bluetooth connectivity, 30-hour battery life, and touch controls",45,40,25,350
